seed_sensib,sim_name,annee_sensib,nb_fp,nb_agregats,nb_chateaux,nb_grands_chateaux,nb_eglises,nb_eglises_paroissiales,distance_eglises_sensib,distance_eglises_paroissiales_sensib,prop_fp_isoles_sensib,ratio_charge_fiscale_sensib,sensibility_parameter,sensibility_value
"0.7728948939030822",6_5_1_SensibAna,"1200",40000,213,49,7,306,291,1850,1907,0.640475,2.2641,rayon_migration_locale_fp,"map([800::1000])"
"0.7728948939030822",6_5_1_SensibAna,"1200",40000,214,50,10,285,271,2126,2169,0.64,2.2792,rayon_migration_locale_fp,"map([800::1000])"
"0.860208758352604",6_5_1_SensibAna,"1200",40000,227,53,13,308,288,1998,2084,0.631475,2.327425,rayon_migration_locale_fp,"map([800::1000])"
"0.860208758352604",6_5_1_SensibAna,"1200",40000,239,54,19,324,315,2022,2050,0.6282,2.316075,rayon_migration_locale_fp,"map([800::1000])"
"0.3129908346645428",6_5_1_SensibAna,"1200",40000,241,41,15,321,311,1776,1835,0.397775,2.1998,prop_migration_lointaine_fp,"0.0"
"0.3129908346645428",6_5_1_SensibAna,"1200",40000,250,50,14,346,328,1579,1602,0.382225,2.1726,prop_migration_lointaine_fp,"0.0"
"0.3352216851799783",6_5_1_SensibAna,"1200",40000,256,50,13,331,320,2069,2114,0.629775,2.3148,rayon_migration_locale_fp,"map([800::1000])"
"0.3352216851799783",6_5_1_SensibAna,"1200",40000,213,42,11,295,274,1913,1975,0.643975,2.2738,rayon_migration_locale_fp,"map([800::1000])"
"0.544897846006649",6_5_1_SensibAna,"1200",40000,240,53,13,316,299,1981,2046,0.615275,2.3152,rayon_migration_locale_fp,"map([800::1000])"
"0.544897846006649",6_5_1_SensibAna,"1200",40000,248,46,9,306,293,2037,2108,0.635475,2.2611,rayon_migration_locale_fp,"map([800::1000])"
"0.1341951300787163",6_5_1_SensibAna,"1200",40000,265,58,19,363,346,1573,1586,0.36995,2.23415,prop_migration_lointaine_fp,"0.0"
